iter	Accuracy	MultiClass
250	0.985	0.3641433512
251	0.985	0.3627624323
252	0.985	0.3617803503
253	0.985	0.3606634499
254	0.985	0.3590447443
255	0.985	0.3577659489
256	0.985	0.3563006579
257	0.985	0.3550152471
258	0.985	0.3534169653
259	0.985	0.3525832045
260	0.99	0.3514738297
261	0.99	0.350084214
262	0.985	0.3489821686
263	0.985	0.347595331
264	0.985	0.3462892516
265	0.985	0.3457049837
266	0.985	0.3446059602
267	0.985	0.3439506319
268	0.985	0.3432043268
269	0.985	0.3422205409
270	0.985	0.3413147437
271	0.985	0.3404270857
272	0.985	0.3392568326
273	0.985	0.3387472057
274	0.985	0.3376294903
275	0.99	0.3368761613
276	0.99	0.3361893019
277	0.985	0.3350381733
278	0.99	0.3342056483
279	0.99	0.3336229806
280	0.985	0.3326973749
281	0.985	0.3321760447
282	0.985	0.3312368113
283	0.985	0.3301812375
284	0.985	0.32922019
285	0.985	0.3279866517
286	0.985	0.3271434013
287	0.985	0.3260113984
288	0.99	0.3253814252
289	0.99	0.32453963
290	0.995	0.323755202
291	0.995	0.3231470432
292	0.995	0.3224952713
293	0.995	0.3213701638
294	0.995	0.3201938014
295	0.995	0.3194710896
296	0.995	0.318472537
297	0.995	0.3178686953
298	0.995	0.316805284
299	0.99	0.3156770736
300	0.995	0.3150643462
301	0.995	0.3144646261
302	0.995	0.3136776145
303	0.995	0.3131340233
304	0.995	0.3123138008
305	0.995	0.3111668304
306	0.99	0.3097410517
307	0.99	0.3090499672
308	0.99	0.3080866657
309	0.99	0.30722276
310	0.99	0.3063189807
311	0.995	0.3054416363
312	0.995	0.3045945844
313	0.995	0.3039939759
314	0.99	0.3031495218
315	0.99	0.3027448031
316	0.99	0.3016976845
317	0.99	0.3010759015
318	0.99	0.3002757148
319	0.99	0.2996138827
320	0.99	0.2984414497
321	0.99	0.2977184449
322	0.99	0.2970223125
323	0.99	0.2964305177
324	0.99	0.2955475814
325	0.99	0.2949782378
326	0.99	0.2941075245
327	0.99	0.2931981808
328	0.99	0.29247499
329	0.99	0.2916286307
330	0.99	0.2908248074
331	0.99	0.2900565488
332	0.99	0.2892246733
333	0.99	0.2884372467
334	0.99	0.2872775947
335	0.99	0.2867382222
336	0.99	0.2861361965
337	0.99	0.2856183546
338	0.99	0.2846965296
339	0.99	0.2839498199
340	0.99	0.2833453231
341	0.99	0.2827569728
342	0.99	0.282169525
343	0.99	0.2813710134
344	0.99	0.2807639896
345	0.99	0.2799505954
346	0.99	0.2793537256
347	0.99	0.2784345381
348	0.99	0.277933821
349	0.99	0.2773160386
350	0.995	0.2764134346
351	0.995	0.2761119159
352	0.995	0.2751743038
353	0.995	0.2743194686
354	0.995	0.2733750656
355	0.995	0.2725400569
356	0.995	0.2715621215
357	0.995	0.2706942005
358	0.995	0.2699869906
